"RiderNo.,Rider Name"
"77,Felipe Horta"
"79,Blake Young"
"79,Philippe Monneret"
"79,Chuck Graves"
"79,Nestor Amoroso"
"80,Kurtis Roberts"
"81,Jordi Torres"
"82,Mika Kallio"
"84,Michel Fabrizio"
"84,Roberto Rolfo"
"84,Andrew Pitt"
"85,Takuya Tsuda"
"85,Chris Walker"
"87,Remy Gardner"
"87,Akira Yanagawa"
"88,Miguel Oliveira"
"88,Niccolò Canepa"
"88,Andrew Pitt"
"88,Scott Smart"
"88,Kevin Magee"
"89,Jorge Martín"
"89,Katsuyuki Nakasuga"
"92,Kazuki Watanabe"
"93,Marc Márquez"
"94,Jonas Folger"
"94,David Checa"
"95,Roger Lee Hayden"
"96,Jake Dixon"
"96,Paul Young"
"96,James Whitham"
"97,Rich Oliver"
"98,Jason Vincent"
"99,Jorge Lorenzo"
"99,Jeremy McWilliams"
